id,is_oku,bumiputra_status,customer_type,gender,age,Age_Missing_Flag,count_login,count_preview_project,count_preview_unit,count_preview_unit_range,count_creditcheck_complete,count_creditcheck_results,phase_id,township_id,gross_salary,b_form_revenue,commission,total_income,total_income_missing_flag,applicant_rating_dsr,applicant_rating_dsr_missing_flag,applicant_rating_dsr_median,applicant_rating_ccris,applicant_rating_ctos,applicant_rating_overall,employment_type,employer_type,applicant_nationality,income_type,no_of_existing_prop_loan,no_of_existing_prop_loan_missing_flag,dob,tax_pcb,tax_pcb_missing_flag,margin_of_finance,use_preview_price,has_best_matching_bankers,flag_token,flag_has_cheque,flag_bought,customer_group,preview_project_1_day_before_launch_count,preview_unit_1_day_before_launch_count,preview_countdown_before_project_launch_count,creditcheck_results_before_project_launch_count,creditcheck_start_before_project_launch_count,highest_unit_one_day_before_launch_count,login_project_launch_count,no_of_days_between_creation_validation
10514,0,non-bumiputra,earlybird,Female,26.4027,0,0,20,43,Nov-50,0,0,82,3,4750,0,1000,5750,0,0,0,0,A,A,A,Employed,SME,Malaysian,Basic + Variable Income / Commission,0,0,6/29/1996,178.45,0,90,0,1,1,0,1,Regular,0,0,0,0,18,0,51,0
10719,0,non-bumiputra,earlybird,Male,49.0767,0,0,2,0,0,0,0,82,3,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,11/1/1973,333.85,1,0,0,0,1,0,1,Regular,0,0,0,0,0,0,30,0
10829,0,bumiputra,earlybird,Female,29.937,0,0,1,0,0,0,0,82,3,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,12/17/1992,333.85,1,0,0,0,1,0,1,Regular,0,0,0,0,0,0,28,0
11374,0,bumiputra,earlybird,Male,35.6247,0,0,0,0,0,0,0,82,3,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,4/12/1987,333.85,1,0,0,0,1,0,1,Regular,0,0,0,0,0,0,7,0
12038,0,bumiputra,prime,Male,36.0658,0,0,4,12,Nov-50,0,0,82,1,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,11/2/1986,333.85,1,0,0,0,1,0,1,Regular,0,0,0,0,1,0,30,0
12293,0,bumiputra,earlybird,Male,33.7863,0,0,0,0,0,0,0,82,3,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,2/11/1989,333.85,1,0,0,0,1,0,0,Regular,0,0,0,0,0,0,4,1
13139,0,non-bumiputra,earlybird,Male,39.1973,0,0,2,12,Nov-50,0,0,82,3,8300,0,3000,11300,0,95.72,0,95.72,A,A,C,Employed,SME,Malaysian,Basic + Variable Income / Commission,0,0,9/16/1983,1142.75,0,90,0,1,1,0,1,Regular,0,0,0,0,0,0,19,1
13212,0,bumiputra,earlybird,Female,44.5507,0,0,2,0,0,0,0,82,3,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,5/11/1978,333.85,1,0,0,0,1,0,1,Regular,0,0,0,0,0,0,6,0
13217,0,bumiputra,earlybird,Male,33.2712,0,0,1,0,0,0,0,82,3,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,8/18/1989,333.85,1,0,0,0,1,0,1,Regular,0,0,0,0,0,0,3,2
13383,0,bumiputra,earlybird,Male,34.474,0,0,1,0,0,0,0,82,3,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,6/5/1988,333.85,1,0,0,0,1,0,1,Regular,0,0,0,0,0,0,5,1
13446,0,non-bumiputra,earlybird,Male,49.0384,0,0,2,0,0,0,0,82,3,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,11/15/1973,333.85,1,0,0,0,1,0,1,Regular,0,0,0,0,0,0,2,0
13472,0,non-bumiputra,public,Female,42.3534,0,0,1,0,0,0,0,82,3,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,7/21/1980,333.85,1,0,0,0,1,0,1,Regular,0,0,0,0,0,0,1,1
13476,0,bumiputra,public,Female,29.8493,0,0,1,0,0,0,0,82,3,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,1/18/1993,333.85,1,0,0,0,1,0,1,Regular,0,0,0,0,0,0,5,1
13483,0,bumiputra,public,Female,25.8082,0,0,0,0,0,0,0,82,3,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,2/1/1997,333.85,1,0,0,0,1,0,1,Regular,0,0,0,0,0,0,1,0
13533,0,bumiputra,public,Female,33.1671,0,0,1,0,0,0,0,82,3,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,9/25/1989,333.85,1,0,0,0,1,0,1,Regular,0,0,0,0,0,0,1,0
13569,0,bumiputra,employee,Male,36.5863,0,0,3,0,0,0,0,82,1,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,4/26/1986,333.85,1,0,0,0,1,0,1,Regular,0,0,0,0,0,0,4,1
13707,0,bumiputra,earlybird,Male,46.1315,0,0,2,2,2,0,0,82,3,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,10/11/1976,333.85,1,0,0,0,1,0,1,Regular,0,0,0,0,0,0,9,0
13724,0,bumiputra,earlybird,Male,35.1014,0,0,1,0,0,0,0,82,3,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,10/20/1987,333.85,1,0,0,0,1,0,1,Regular,0,0,0,0,0,0,4,0
13823,0,bumiputra,public,Male,28.2438,0,0,0,0,0,0,0,82,3,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,8/27/1994,333.85,1,0,0,0,1,0,1,Regular,0,0,0,0,0,0,1,0
13882,0,non-bumiputra,earlybird,Male,55.0603,0,0,3,8,10-May,0,0,82,3,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,11/9/1967,333.85,1,0,0,0,1,0,0,Regular,2,7,0,0,1,1,2,6
13889,0,bumiputra,prime,Male,41.3562,0,0,5,22,Nov-50,1,4,82,3,27500,0,0,27500,0,93.64,0,93.64,A,A,C,Employed,MNC (Multi-National Corporation),Malaysian,Basic Salary,1,0,7/20/1981,4616.8,0,90,0,1,1,0,1,Regular,0,0,0,4,1,0,4,0
13920,0,bumiputra,prime,Male,57.7699,0,0,3,5,10-May,0,0,82,3,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,2/23/1965,333.85,1,0,0,0,1,0,1,Regular,0,0,0,0,1,0,3,1
13935,0,bumiputra,prime,Female,39.5589,0,0,0,0,0,0,0,82,3,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,5/7/1983,333.85,1,0,0,0,1,0,1,Regular,0,0,0,0,0,0,1,0
13937,0,bumiputra,earlybird,Male,33.5288,0,0,0,0,0,0,0,82,3,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,5/16/1989,333.85,1,0,0,0,1,0,0,Regular,0,0,0,0,0,0,1,4
13952,0,bumiputra,prime,Male,28.6849,0,0,0,0,0,0,0,82,3,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,3/19/1994,333.85,1,0,0,0,1,0,1,Regular,0,0,0,0,0,0,2,0
13976,0,non-bumiputra,prime,Female,49.8411,0,0,0,0,0,0,0,82,1,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,1/26/1973,333.85,1,0,0,0,1,0,1,Regular,0,0,0,0,0,0,2,0
13977,0,non-bumiputra,earlybird,Male,54.2904,0,0,4,0,0,0,0,82,3,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,8/16/1968,333.85,1,0,0,0,1,0,0,Regular,0,0,0,0,0,0,3,1
13984,0,bumiputra,prime,Female,31.3315,0,0,1,0,0,0,0,82,3,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,7/27/1991,333.85,1,0,0,0,1,0,1,Regular,0,0,0,0,0,0,1,0
13985,0,bumiputra,earlybird,Male,37.8164,0,0,12,75,>50,0,0,82,3,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,2/1/1985,333.85,1,0,0,0,1,0,1,Regular,4,26,2,0,1,5,7,1
13989,0,bumiputra,prime,Female,45.6082,0,0,17,15,Nov-50,5,23,82,3,11000,0,0,11000,0,193.11,0,193.11,A,A,D,Employed,MNC (Multi-National Corporation),Malaysian,Basic Salary,0,0,4/20/1977,1077.95,0,90,0,1,1,0,0,Regular,1,1,0,23,11,1,6,0
14004,0,non-bumiputra,earlybird,Male,33.663,0,0,1,3,3,0,0,82,3,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,3/28/1989,333.85,1,0,0,0,1,0,1,Regular,1,3,0,0,1,1,2,0
14011,0,non-bumiputra,public,Male,49.4356,0,0,0,0,0,0,0,82,3,NULL,NULL,NULL,0,0,NULL,1,38.77,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,1,6/23/1973,333.85,1,0,0,0,1,0,1,Regular,0,0,0,0,0,0,0,2
